Universite;Specialisation;annee_experience;type_emploi;secteur_activite;competence_professionnelle;formation_complement;taille_equipe;budget_gere;nb_jour_formation_an;nb_projet;salaire;source_emploi
INSCAE;Marketing, Management;3-5 ans;Temps plein;Service clientèle;Communication, Travail d'équipe, Leadership, Adaptabilité;Non;4;10000000;5;5;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Comptabilité - Contrôle - Audit;1-2 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Résolution de problèmes;Non;3;0;30;1;Moins de 2 Millions MGA;Recommandations
O2;Gestion des Ressources Humaines, Management, EVALUATION DE PROJET;Plus de 5 ans;Temps plein;ECONOMIE DE DEVELOPPEMENT (MINISTRE DE L'AGRICULTURE ET DE L'ELEVAGE A MADAGASCAR);Communication, Travail d'équipe, Leadership;Oui;2400;0;2;0;Plus de 3 Millions MGA;Concours 
INSCAE;Administration d'entreprise;3-5 ans;Entrepreneur ;Artisanat;Communication, Travail d'équipe;Non;5;50000000;7;4;Entre 2 Millions MGA et 3 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE;Marketing;Plus de 5 ans;Entrepreneur;Élevage / traduction;Leadership, Résolution de problèmes;Oui;12;25000000;4;2;Entre 2 Millions MGA et 3 Millions MGA;Recommandations
Association Professionnelle des Banques;Finance;Plus de 5 ans;Temps plein;Banque/Finance;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;11;40000000;7;1;Entre 2 Millions MGA et 3 Millions MGA;Recommandations
INSCAE;Finance, Comptabilité;3-5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Résolution de problèmes, Adaptabilité;Oui;3;24000000;60;2;Entre 2 Millions MGA et 3 Millions MGA;Sites d'offres d'emploi en ligne
Institut Universitaire de Madagascar;Management;3-5 ans;Consultance;Ressources humaines ;Communication, Travail d'équipe, Leadership, Adaptabilité;Oui;24;0;7;3;Entre 2 Millions MGA et 3 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE;Management;3-5 ans;Temps plein;Marketing/Publicité;Communication, Travail d'équipe, Leadership, Résolution de problèmes;Non;4;50000000;20;2;Entre 2 Millions MGA et 3 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE;Management;1-2 ans;Freelance;Média ;Communication, Travail d'équipe, Résolution de problèmes, Adaptabilité, Écriture - Logistique ;Non;2;200000;30;2;Moins de 2 Millions MGA;Recommandations
INSCAE;Comptabilité - Contrôle - Audit;Plus de 5 ans;Temps plein;Direction;Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;31;1000000000;0;3;Plus de 3 Millions MGA;Sites d'offres d'emploi en ligne
ESMIA MADAGASCAR ;Gestion des Ressources Humaines, Management;3-5 ans;Temps plein;RH;Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;307;0;19;2;Entre 2 Millions MGA et 3 Millions MGA;Sites d'offres d'emploi en ligne
CNTEMAD;Droit Public;Plus de 5 ans;Temps plein;Banque/Finance, Public;Communication, Travail d'équipe, Leadership;Oui;20;0;5;2;Entre 2 Millions MGA et 3 Millions MGA;Annonces dans les journaux
DEGS Ankatso;Droit;Plus de 5 ans;Temps plein;Agroalimentaire ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;7;7000000000;4;0;Plus de 3 Millions MGA;Cooptation 
DEGS Ankatso;Économie;3-5 ans;Temps plein;Société privée;Communication, Adaptabilité;Oui;30;1000000000;3;2;Moins de 2 Millions MGA;Recommandations
Esam Paris;Finance, Comptabilité;1-2 ans;Temps plein;Comptabilité/Audit;Communication, Adaptabilité;Non;0;10000000;217;30;Moins de 2 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Gestion des Ressources Humaines;3-5 ans;Temps plein;Informatique;Résolution de problèmes, Résistance au stress;Non;0;0;6;5;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Management;3-5 ans;Temps plein;Conseil en gestion;Résolution de problèmes, Adaptabilité;Oui;1;1000000;15;2;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Finance, Comptabilité;Plus de 5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Résolution de problèmes, Adaptabilité;Non;10;100000000;0;2;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Finance, Comptabilité;Plus de 5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;13;600000000;25;12;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Comptabilité - Contrôle - Audit;3-5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;8;0;60;1;Moins de 2 Millions MGA;Recommandations
Université Montesquieu Bordeaux 4 ;Management;Plus de 5 ans;Temps plein;Entrepreneuriat ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;5;120000000;0;2;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
ISCAM;Finance, Comptabilité;Plus de 5 ans;Entrepreneur ;Formation - Business Coaching ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;10;0;30;4;Plus de 3 Millions MGA;Je crée des entreprises 
Agrosup Dijon;Management de la qualité;Plus de 5 ans;Temps plein;Mine;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;15;1000000000;2;2;Plus de 3 Millions MGA;Recommandations
INSCAE ;Finance, Comptabilité;1-2 ans;Freelance;Consultance ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;3;2000000;7;3;Moins de 2 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
DEGS Ankatso;Économie;3-5 ans;Temps plein;Communication ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;11;0;3;2;Moins de 2 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
ESSEC Business School ;Finance;Plus de 5 ans;Temps plein;Banque/Finance, Conseil en gestion;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Non;5;20000000;0;3;Entre 2 Millions MGA et 3 Millions MGA;Sites d'offres d'emploi en ligne
INSCAE/ OECFM;Finance, Comptabilité;Plus de 5 ans;Temps plein;Comptabilité/Audit;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;10;0;10;15;Plus de 3 Millions MGA;Sites d'offres d'emploi en ligne
IST - Tananarive ;Management;1-2 ans;Temps plein;Ressources humaines ;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;2000;672000000;5;4;Entre 2 Millions MGA et 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
DEGS Ankatso;Comptabilité;Moins de 1 an;Temps partiel;Comptabilité/Audit;Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité;Oui;5;40000000;48;5;Moins de 2 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Finance;3-5 ans;Temps plein;Banque/Finance;Résolution de problèmes, Adaptabilité;Oui;1;800000000;30;4;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Finance;Plus de 5 ans;Temps plein;BTP;Communication, Travail d'équipe, Leadership, Adaptabilité;Non;9;50000000;2;0;Plus de 3 Millions MGA;Réseaux professionnels (LinkedIn, etc.)
INSCAE;Marketing;Plus de 5 ans;Temps plein;Tourisme;Communication, Travail d'équipe, Leadership, Résolution de problèmes, Adaptabilité, Liste non exhaustive ;Oui;8;25000000000;15;5;Plus de 3 Millions MGA;Recommandations
UACCEM, IESEG School of Management;Management;Plus de 5 ans;Freelance;Externalisation;Communication, Leadership, Constance;Non;15;160000000;7;0;Plus de 3 Millions MGA;Annonces dans les journaux
