formation_complement;Expérience professionnelle;Heure_travail_semaine;Taille_équipe;Taille_équipe_la_plus_ grande;Nombre_réunions_hebdo;Montant_annuel_budget_géré;Nombre_jours_formation ;Nombre_projets ;Universite_freq_encoded;Specialisation_freq_encoded;annee_experience_freq_encoded;type_emploi_freq_encoded;secteur_activite_freq_encoded;competence_professionnelle_freq_encoded;formation_complement_freq_encoded;salaire_freq_encoded;source_emploi_freq_encoded
1;2;40;2;2;2;0;1.5;4;0.004672897;0.056074766;0.177570093;0.004672897;0.014018692;0.056074766;0.602803738;0.313084112;0.235849057
1;4.5;40;6;11;3;0;12;3;0.009345794;0.014018692;0.177570093;0.878504673;0.004672897;0.070093458;0.602803738;0.252336449;0.226415094
1;20;40;70;70;1;180000000;4;4;0.140186916;0.056074766;0.593457944;0.878504673;0.009345794;0.037383178;0.602803738;0.252336449;0.080188679
1;20;40;10;18;2;2000000000;0;10;0.140186916;0.205607477;0.593457944;0.878504673;0.028037383;0.359813084;0.602803738;0.434579439;0.377358491
1;2;40;5;20;2;0;7;6;0.004672897;0.004672897;0.177570093;0.878504673;0.023364486;0.359813084;0.602803738;0.252336449;0.377358491
0;15;40;14;20;1;1000000000;0;1;0.355140187;0.056074766;0.593457944;0.878504673;0.214953271;0.023364486;0.397196262;0.434579439;0.377358491
0;8;30;5;5;2;30000000;15;1;0.355140187;0.08411215;0.593457944;0.878504673;0.009345794;0.359813084;0.397196262;0.313084112;0.377358491
1;4;30;2;2;1;0;0;5;0.023364486;0.056074766;0.593457944;0.878504673;0.004672897;0.014018692;0.602803738;0.252336449;0.235849057
1;10;45;10;29;0;0;0;3;0.355140187;0.004672897;0.593457944;0.878504673;0.004672897;0.023364486;0.602803738;0.313084112;0.377358491
1;25;45;18;28;2;50000000000;4;2;0.355140187;0.014018692;0.593457944;0.878504673;0.018691589;0.359813084;0.602803738;0.434579439;0.235849057
1;1;40;6;6;2;1,00E+11;2;0;0.355140187;0.205607477;0.196261682;0.878504673;0.004672897;0.056074766;0.602803738;0.252336449;0.377358491
1;12;45;8;8;2;10000000;365;3;0.056074766;0.046728972;0.593457944;0.878504673;0.028037383;0.014018692;0.602803738;0.252336449;0.377358491
0;15;40;150;300;2;400;0;3;0.046728972;0.004672897;0.593457944;0.878504673;0.004672897;0.359813084;0.397196262;0.434579439;0.377358491
0;6.5;30;6;20;2;120000000;10;15;0.023364486;0.056074766;0.593457944;0.878504673;0.214953271;0.03271028;0.397196262;0.434579439;0.377358491
1;8;40;8;8;1;50000000000;4;4;0.056074766;0.088785047;0.593457944;0.878504673;0.214953271;0.359813084;0.602803738;0.313084112;0.377358491
