formation_complement;taille_equipe;budget_gere;nb_jour_formation_an;nb_projet;Universite_freq_encoded;Specialisation_freq_encoded;annee_experience_freq_encoded;type_emploi_freq_encoded;secteur_activite_freq_encoded;competence_professionnelle_freq_encoded;formation_complement_freq_encoded;salaire_freq_encoded;source_emploi_freq_encoded
1;20;3000000000;5;5;0.004672897;0.046728972;0.593457944;0.878504673;0.009345794;0.070093458;0.602803738;0.434579439;0.377358491
0;2;300000000;15;5;0.355140187;0.074766355;0.196261682;0.878504673;0.004672897;0.359813084;0.397196262;0.434579439;0.235849057
1;50;4000000000;10;3;0.004672897;0.056074766;0.593457944;0.878504673;0.014018692;0.359813084;0.602803738;0.313084112;0.235849057
1;30;2000000000;0;4;0.140186916;0.205607477;0.593457944;0.878504673;0.004672897;0.014018692;0.602803738;0.252336449;0.226415094
1;30;3000000000;20;7;0.023364486;0.205607477;0.593457944;0.878504673;0.004672897;0.359813084;0.602803738;0.434579439;0.235849057
1;3;20000000000;15;10;0.355140187;0.088785047;0.593457944;0.878504673;0.004672897;0.359813084;0.602803738;0.313084112;0.235849057
1;4;15000000;0;2;0.004672897;0.004672897;0.593457944;0.878504673;0.004672897;0.014018692;0.602803738;0.434579439;0.004716981
0;0;2000000000;2;5;0.355140187;0.074766355;0.196261682;0.878504673;0.004672897;0.004672897;0.397196262;0.313084112;0.377358491
0;4;0;10;10;0.355140187;0.08411215;0.177570093;0.878504673;0.004672897;0.070093458;0.397196262;0.313084112;0.235849057
1;4;10000000;250;5;0.355140187;0.08411215;0.196261682;0.042056075;0.004672897;0.359813084;0.602803738;0.313084112;0.377358491
